2023-12-17 14:08:44 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:44 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:45 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:46 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:46 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:33 - PHP Warning:  Undefined array key "fileToUpload" in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 64
2023-12-17 14:10:33 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 64
2023-12-17 14:10:33 - PHP Unknown:  basename(): Passing null to parameter #1 ($path) of type string is deprecated in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 64
2023-12-17 14:10:33 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:33 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:33 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:33 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:33 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:33 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:33 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:33 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:34 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:35 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:36 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:10:36 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
